uid,domain,assembly,source_identifier,refs,quantity,manufacturer,manufacturer_part_number,description,specification,process_or_package,make_buy,unit_price_cny,extended_price_cny,price_status,source_path
MECH:MW-M-001,mechanical,wand,MW-M-001,,1,,MW-M-001,"Grip shell, axial tube prototype","PC-ABS prototype grade, final resin and rating not selected",FDM or MJF review prototype,make,,,unknown_not_quoted,projects/magic-wand/mechanical/bom.json
MECH:MW-M-002,mechanical,wand,MW-M-002,,1,,MW-M-002,Internal electronics carrier cage,PA12 unfilled prototype grade,MJF or SLS review prototype,make,,,unknown_not_quoted,projects/magic-wand/mechanical/bom.json
MECH:MW-M-003,mechanical,wand,MW-M-003,,1,,MW-M-003,Rear nonconductive antenna-end cap,"unfilled PC-ABS, nonconductive",FDM or MJF review prototype,make,,,unknown_not_quoted,projects/magic-wand/mechanical/bom.json
MECH:MW-M-004,mechanical,wand,MW-M-004,,1,,MW-M-004,Handle-to-spine connector,PA12 unfilled prototype grade,MJF or SLS review prototype,make,,,unknown_not_quoted,projects/magic-wand/mechanical/bom.json
MECH:MW-P-001,mechanical,wand,MW-P-001,,1,,MW-P-001,Pultruded GFRP spine blank,"pultruded GFRP rod, supplier grade and certificates not selected",supplier cut and deburr after incoming inspection,buy,,,unknown_not_quoted,projects/magic-wand/mechanical/bom.json
MECH:MW-C-001,mechanical,wand,MW-C-001,,1,,MW-C-001,Two-part structural adhesive trial kit,selection gated by coupon results,"controlled mix, surface preparation and cure trial",buy,,,unknown_not_quoted,projects/magic-wand/mechanical/bom.json
ELEC:wand:U1,electronics,wand,E001,U1,1,u-blox,NINA-B302-00B-00,BLE module with internal PIFA,Hardware rev 04 or later; exact open-CPU firmware support,55-pin LGA,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:wand:U2,electronics,wand,E002,U2,1,STMicroelectronics,LSM6DSV16XTR,6-axis IMU,Exact pin-1/land pattern and I2C termination,LGA-14,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:wand:U3,electronics,wand,E003,U3,1,Texas Instruments,BQ25185DLHR,1-cell charger with power path,Exposed pad soldered; 4.2 V/300 mA setting,WSON-10 DLH,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:wand:U4,electronics,wand,E004,U4,1,Texas Instruments,TPS63900DSKR,Buck-boost converter,3.3 V configuration and thermal pad,WSON-10 DSK,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:wand:U5,electronics,wand,E005,U5,1,Texas Instruments,DRV2605LDGSR,Haptic driver,Exact DGS pinout and actuator auto-calibration,VSSOP-10 DGS,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:wand:U6,electronics,wand,E006,U6,1,STMicroelectronics,USBLC6-2SC6,USB 2.0 ESD protection,Connector-adjacent placement; VBUS bias,SOT23-6,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:wand:J1,electronics,wand,E007,J1,1,JAE,DX07S016JA1R1500,USB-C USB2 receptacle,Exact shell stakes and mating datum,16-position SMT,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:wand:J2,electronics,wand,E008,J2,1,JST,SM03B-SRSS-TB(LF)(SN),Keyed 3-pin battery header,BAT+ NTC GND keyed harness,SH 1.0 mm,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:wand:J3,electronics,wand,E009,J3,1,JST,SM02B-SRSS-TB(LF)(SN),2-pin haptic header,Differential actuator output,SH 1.0 mm,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:wand:SW1,electronics,wand,E010,SW1,1,ALPS Alpine,SKQGAFE010,Press-to-arm tactile switch,Normally open dedicated input,SMD,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:wand:BT1,electronics,wand,E011,BT1,1,Pack supplier,EVT-1S-LIPO-500MAH-10K3435,Protected 1S LiPo pack,Protection plus 10 kOhm beta3435 NTC and keyed JST harness,Custom pack,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:wand:M1,electronics,wand,E012,M1,1,Jinlong Machinery,C08-005,8 mm LRA haptic actuator,Voltage/current/resonance must be checked against driver,Wire lead,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:wand:L1,electronics,wand,E013,L1,1,Coilcraft,XFL4020-222MEC,2.2 uH buck-boost inductor,Isat/Irms/DCR at worst case,4.0x4.0 mm,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
"ELEC:wand:C_IN3,C_SYS,C_BAT,C_IN4,C_OUT4,C_REG5,C_VDD5",electronics,wand,E014,"C_IN3,C_SYS,C_BAT,C_IN4,C_OUT4,C_REG5,C_VDD5",7,Murata,GRM21BR61A106KE19L,Ceramic capacitors,Effective capacitance after DC bias must meet each rail,0805 10 uF 10 V X5R,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
"ELEC:wand:C_IMU_VDD,C_IMU_IO,C_VDD5_HF,C_U1_1..C_U1_3",electronics,wand,E015,"C_IMU_VDD,C_IMU_IO,C_VDD5_HF,C_U1_1..C_U1_3",6,Murata,GRM155R71C104KA88D,Ceramic capacitors,Place at associated supply pin,0402 100 nF 16 V X7R,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
"ELEC:wand:R_CC1,R_CC2",electronics,wand,E016,"R_CC1,R_CC2",2,Yageo,RC0402FR-075K1L,USB-C Rd resistors,Independent CC terminations,0402 5.1 kOhm 1%,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:wand:R_ISET,electronics,wand,E017,R_ISET,1,Yageo,RC0402FR-071KL,Charge current setting,Nominal 300 mA,0402 1.00 kOhm 1%,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:wand:R_ILIM,electronics,wand,E018,R_ILIM,1,Yageo,RC0402FR-0718KL,Input/current voltage setting,Nominal 500 mA and 4.2 V setting,0402 18.0 kOhm 1%,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
"ELEC:wand:R_CFG1,R_CFG3",electronics,wand,E019,"R_CFG1,R_CFG3",2,Yageo,RC0402FR-0736K5L / RC0402FR-0716K2L,TPS63900 configuration,Both output selections 3.3 V,0402 36.5 kOhm / 16.2 kOhm 1%,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
"ELEC:wand:R_I2C_SCL,R_I2C_SDA",electronics,wand,E020,"R_I2C_SCL,R_I2C_SDA",2,Yageo,RC0402FR-074K7L,I2C pull-up,Start 100 kHz and measure rise time,0402 4.7 kOhm 1%,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
"ELEC:wand:R_ARM,R_ARM_SER,R_STAT1,R_STAT2,R_CFG2",electronics,wand,E021,"R_ARM,R_ARM_SER,R_STAT1,R_STAT2,R_CFG2",5,Yageo,RC0402-series,Logic resistors,100 kOhm pull-up; 1 kOhm series; 10 kOhm status; 0 Ohm CFG2,0402 assorted,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:wand:F1,electronics,wand,E022,F1,1,Bourns,MF-FSMF050X-2,Resettable USB input fuse,Hold current and trip curve to be validated,0603,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
