board,refs,qty,manufacturer,mpn,description,package_or_value,key_requirement,alternate,alternate_qualification,lifecycle_risk,status_source
wand,U1,1,u-blox,NINA-B302-00B-00,BLE module with internal PIFA,55-pin LGA,Hardware rev 04 or later; exact open-CPU firmware support,NINA-B306-00B-00,Not drop-in antenna/mechanical change; full RF/layout recertification,Medium; module PCN and SDK longevity,UBX-NINA-B3-DS-R15
wand,U2,1,STMicroelectronics,LSM6DSV16XTR,6-axis IMU,LGA-14,Exact pin-1/land pattern and I2C termination,LSM6DSOXTR,Firmware/register and performance requalification; not assumed drop-in,Medium; sensor family churn,ST-LSM6DSV16X-DS13510-R4
wand,U3,1,Texas Instruments,BQ25185DLHR,1-cell charger with power path,WSON-10 DLH,Exposed pad soldered; 4.2 V/300 mA setting,BQ25186DLHR,Pin/package review plus I2C firmware/configuration change,Low; active as checked 2026-08-21,TI-BQ25185-SLUSF65A
wand,U4,1,Texas Instruments,TPS63900DSKR,Buck-boost converter,WSON-10 DSK,3.3 V configuration and thermal pad,TPS63901DSKR,Recalculate configuration/current behavior,Low; active family,TI-TPS63900-SLVSFJ2D
wand,U5,1,Texas Instruments,DRV2605LDGSR,Haptic driver,VSSOP-10 DGS,Exact DGS pinout and actuator auto-calibration,DRV2605YZFR,Package/assembly change and library recheck,Low; active,TI-DRV2605L-SLOS854D
wand,U6,1,STMicroelectronics,USBLC6-2SC6,USB 2.0 ESD protection,SOT23-6,Connector-adjacent placement; VBUS bias,TPD2EUSB30DRTR,SI/footprint/clamp requalification,Low; multi-source function,ST-USBLC6-2-DS4260-R7
wand,J1,1,JAE,DX07S016JA1R1500,USB-C USB2 receptacle,16-position SMT,Exact shell stakes and mating datum,USB4105-GF-A,Footprint and shell/height requalification,Medium; connector supply volatility,Manufacturer drawing recheck gate
wand,J2,1,JST,SM03B-SRSS-TB(LF)(SN),Keyed 3-pin battery header,SH 1.0 mm,BAT+ NTC GND keyed harness,505567-0371,New cable/footprint and polarity validation,Low,Manufacturer drawing recheck gate
wand,J3,1,JST,SM02B-SRSS-TB(LF)(SN),2-pin haptic header,SH 1.0 mm,Differential actuator output,505567-0271,New cable/footprint validation,Low,Manufacturer drawing recheck gate
wand,SW1,1,ALPS Alpine,SKQGAFE010,Press-to-arm tactile switch,SMD,Normally open dedicated input,B3U-1000P,Force/travel/footprint requalification,Low,Manufacturer drawing recheck gate
wand,BT1,1,Pack supplier,EVT-1S-LIPO-500MAH-10K3435,Protected 1S LiPo pack,Custom pack,Protection plus 10 kOhm beta3435 NTC and keyed JST harness,None,Exact battery is a mandatory mechanical/safety gate,High; custom pack not yet qualified,BLK-MECH-001
wand,M1,1,Jinlong Machinery,C08-005,8 mm LRA haptic actuator,Wire lead,Voltage/current/resonance must be checked against driver,C10-100,Mechanical and auto-calibration requalification,High; exact actuator sample required,BLK-MECH-001
wand,L1,1,Coilcraft,XFL4020-222MEC,2.2 uH buck-boost inductor,4.0x4.0 mm,Isat/Irms/DCR at worst case,LQH44PN2R2MP0L,Power/thermal/layout requalification,Low,TI-TPS63900-SLVSFJ2D
wand,"C_IN3,C_SYS,C_BAT,C_IN4,C_OUT4,C_REG5,C_VDD5",7,Murata,GRM21BR61A106KE19L,Ceramic capacitors,0805 10 uF 10 V X5R,Effective capacitance after DC bias must meet each rail,CL21A106KPFNNNE,DC-bias and footprint requalification,Low,Manufacturer curves plus cited IC data sheets
wand,"C_IMU_VDD,C_IMU_IO,C_VDD5_HF,C_U1_1..C_U1_3",6,Murata,GRM155R71C104KA88D,Ceramic capacitors,0402 100 nF 16 V X7R,Place at associated supply pin,CC0402KRX7R7BB104,Equivalent dielectric/voltage,Low,Cited IC data sheets
wand,"R_CC1,R_CC2",2,Yageo,RC0402FR-075K1L,USB-C Rd resistors,0402 5.1 kOhm 1%,Independent CC terminations,CRCW04025K10FKED,Equivalent tolerance/voltage,Low,USBIF-TYPEC-R2-5
wand,R_ISET,1,Yageo,RC0402FR-071KL,Charge current setting,0402 1.00 kOhm 1%,Nominal 300 mA,CRCW04021K00FKED,Recalculate charge current,Low,TI-BQ25185-SLUSF65A
wand,R_ILIM,1,Yageo,RC0402FR-0718KL,Input/current voltage setting,0402 18.0 kOhm 1%,Nominal 500 mA and 4.2 V setting,CRCW040218K0FKED,Recheck BQ25185 table,Low,TI-BQ25185-SLUSF65A
wand,"R_CFG1,R_CFG3",2,Yageo,"RC0402FR-0736K5L / RC0402FR-0716K2L",TPS63900 configuration,0402 36.5 kOhm / 16.2 kOhm 1%,Both output selections 3.3 V,Vishay CRCW equivalents,Total error below data-sheet requirement,Low,TI-TPS63900-SLVSFJ2D
wand,"R_I2C_SCL,R_I2C_SDA",2,Yageo,RC0402FR-074K7L,I2C pull-up,0402 4.7 kOhm 1%,Start 100 kHz and measure rise time,RC0402FR-072K2L,Use 2.2 kOhm only after sink/rise validation,Low,Design choice
wand,"R_ARM,R_ARM_SER,R_STAT1,R_STAT2,R_CFG2",5,Yageo,RC0402-series,Logic resistors,0402 assorted,100 kOhm pull-up; 1 kOhm series; 10 kOhm status; 0 Ohm CFG2,Vishay CRCW series,Value-by-reference check at capture,Low,Connectivity source of truth
