id,item_or_function,failure_mode,local_effect,end_effect,severity_1_10,occurrence_1_10,detection_1_10,initial_rpn,controls_or_design_action,verification,status_owner
FMEA-001,LiPo interface,Cell reverse connected or unprotected,High current or charger damage,Fire or injury,10,3,4,120,Keyed connector protected pack incoming polarity check fuse and current-limited first power,Reverse-polarity fault review and protected-fixture test,Electrical plus battery specialist
FMEA-002,LiPo selection,Wrong chemistry capacity or charge rate,Overcharge or excessive heating,Fire or shortened life,10,3,5,150,Exact ordered pack with protection NTC and charge-current approval; no generic cell substitution,Ordered-part audit and charge thermal validation,Battery specialist
FMEA-003,NTC path,Open short wrong beta or poor thermal coupling,Charge outside safe temperature window,Cell damage or fire,10,4,4,160,10 kOhm beta3435 requirement keyed harness plausibility/fault testing,Cold hot open short substitution over voltage/temperature,Battery specialist
FMEA-004,BQ25185 thermal,Linear dissipation exceeds copper/enclosure capability,Thermal regulation or hot spot,Charge interruption component damage or enclosure heating,8,5,5,200,Exposed pad copper RISET review blocked-airflow thermal test,Worst-case USB/battery/system thermal soak,Electrical plus mechanical
FMEA-005,TPS63900 rail,Wrong CFG value unstable loop or inductor saturation,3V3 droop/overshoot,Reset corruption or unintended state,8,3,4,96,1 percent CFG exact passives reference layout brownout-safe firmware,Load transient cold/hot battery and haptic coexistence test,Electrical
FMEA-006,NINA antenna,Metal battery copper or enclosure detunes PIFA,Reduced range/intermittent link,Delayed safe-state or unusable product,7,5,6,210,Controlled antenna keepout edge placement enclosure overlay and no SWD under antenna,RF comparison test and pre-compliance scan,RF plus mechanical
FMEA-007,IMU classification,Bias vibration user variance or low confidence misclassified,Wrong gesture candidate,Unintended low-voltage command,8,5,5,200,Short-window relative features confidence rejection physical arm receiver authorization,Per-user held-out dataset false-activation-per-hour and haptic-vibration test,Firmware plus human factors
FMEA-008,Press-to-arm input,Switch stuck low bridged or firmware ignores release,Armed state persists,Unintended actuation,9,3,3,81,Dedicated input pull-up stuck-low-at-boot fault continuous hold lease and release frames,HIL stuck-low bounce release/reset timing with scope,Electrical plus firmware
FMEA-009,BLE link,Packet loss or disconnect while output active,Fresh commands stop,Output may remain active,9,4,3,108,Receiver watchdog bounded pulse 150 ms freshness 250 ms maximum link-loss safe state,RF attenuation disconnect reset/brownout HIL captures,Firmware
FMEA-010,Pairing credential,Default shared exposed or duplicated OOB key,Unauthorized peer authenticates,Unauthorized actuation,9,3,6,162,Unique provisioned credential no compiled secret protected production record revocation path,Image scan provisioning duplicate audit and adversarial pairing test,Security
FMEA-011,AES-CCM nonce,Nonce reused after reboot/counter rollback,Confidentiality/integrity assumptions break,Forged or replayed command risk,10,3,7,210,Device/session/direction/sequence nonce monotonic persistent high-water mark fail-closed on storage uncertainty,Power-cut persistence campaign and nonce uniqueness log review,Security
FMEA-012,Replay filter,Duplicate stale cross-device or wrong-direction packet accepted,Command repeats,Unintended actuation,9,3,3,81,Authenticated bound header strict monotonic sequence and session allow-list,Negative unit vectors packet capture and HIL output monitoring,Security plus firmware
FMEA-013,Receiver reset defaults,GPIO/translators/MOSFET glitch during boot or brownout,Short output pulse,External device activates,9,4,4,144,Gate/input pulldowns staged GPIO init bounded external relay semantics,Oscilloscope all-output capture over 1000 power/reset/brownout cycles,Electrical plus firmware
FMEA-014,VREF_IO interface,5V bypasses translator or back-powers unpowered rail,NINA GPIO overstress,Receiver damage or unpredictable output,8,3,4,96,Direction-controlled dual-rail translator VREF is input only sequencing review,3.3/5V hot-plug and one-rail-absent current/logic test,Electrical
FMEA-015,Optocoupler,CTR too low/high leakage or moat bridged,External input fails on/off,External relay input wrong state,8,4,5,160,Exact SE order/CTR bin low sink current isolation moat floating connector,Hot/cold CTR saturation leakage and hipot only to applicable low-voltage spec,Electrical
FMEA-016,Low-side MOSFET,MOSFET short or gate falsely high,Load stuck on,External low-voltage device activates,9,3,4,108,100 kOhm gate pull-down bounded commands upstream protection and explicit non-safety use,Gate fault drain short and watchdog/load fault injection,Electrical plus firmware
FMEA-017,Inductive load,Flyback omitted reversed or undersized,Drain overvoltage/EMI,MOSFET failure radio reset or stuck output,8,5,5,200,Connector label flyback requirement fitted diode option TVS DNF pending waveform,Representative worst-case inductive capture and surge thermal test,Electrical plus integrator
FMEA-018,External relay boundary,User routes mains onto receiver PCB,Clearance/insulation exceeded,Shock fire or death,10,2,8,160,No mains terminals or relay on board conspicuous SELV-only labels external certified enclosed relay and professional review,Installation boundary inspection; misuse analysis,Compliance plus integrator
FMEA-019,Flight-controller integration,Channel mapped to arming propulsion or primary control,Gesture controls flight-critical state,Crash injury or property damage,10,3,7,210,Protocol/interface documents prohibit use; only non-flight-critical AUX/telemetry with autopilot failsafe,Qualified integrator configuration audit restrained-prop ground tests,Flight-system integrator
FMEA-020,USB/ESD,ESD or cable transient resets/damages board,Reboot or link loss,Unexpected external state if failsafe deficient,8,4,4,128,USBLC close placement CC separation reset-safe firmware ESD layout review,IEC-oriented pre-compliance plus monitored output state,EMC plus electrical
FMEA-021,Assembly,Wrong footprint rotation DNP or substitute,Open short or changed behavior,Latent unsafe output or battery fault,9,3,5,135,Exact MPN footprint peer review AVL and AOI/X-ray golden unit,First-article schematic-to-PCB BOM/CPL and powered test,Manufacturing plus electrical
